"","name","wikitag","party","voteshare","legperiod","nsdap.membership"
"192","Hellmut Kalbitzer","/wiki/Hellmut_Kalbitzer","SPD",NA,1,0
"193","Margot Kalinke","/wiki/Margot_Kalinke","DP",NA,1,0
"194","Hugo Karpf","/wiki/Hugo_Karpf","CSU","46,8",1,0
"195","Linus Kather","/wiki/Linus_Kather","CDU",NA,1,0
"196","Irma Keilhack","/wiki/Irma_Keilhack","SPD","40,7",1,0
"197","Wilfried Keller","/wiki/Wilfried_Keller","WAV",NA,1,0
"198","Emil Kemmer","/wiki/Emil_Kemmer","CSU","33,0",1,0
"199","Heinrich Kemper","/wiki/Heinrich_Kemper_(Politiker,_1888)","CDU","64,8",1,0
"200","Karl Kern","/wiki/Karl_Kern_(Politiker)","CDU",NA,1,0
"201","Dietrich Keuning","/wiki/Dietrich_Keuning","SPD","41,4",1,0
"202","Kurt Georg Kiesinger","/wiki/Kurt_Georg_Kiesinger","CDU","75,3",1,1
"203","Georg Richard Kinat","/wiki/Georg_Richard_Kinat","SPD",NA,1,0
"204","Liesel Kipp-Kaule","/wiki/Liesel_Kipp-Kaule","SPD",NA,1,0
"205","Erich Klabunde","/wiki/Erich_Klabunde","SPD",NA,1,0
"206","Josef Ferdinand Kleindinst","/wiki/Josef_Ferdinand_Kleindinst","CSU","29,0",1,0
"207","Friedrich Klinge","/wiki/Friedrich_Klinge_(Politiker)","DP",NA,1,0
"208","Otto Kneipp","/wiki/Otto_Kneipp","FDP",NA,1,0
"209","Waldemar von Knoeringen","/wiki/Waldemar_von_Knoeringen","SPD",NA,1,0
"210","Wilhelm Knothe","/wiki/Wilhelm_Knothe_(Politiker)","SPD","33,1",1,0
"211","Harald Koch","/wiki/Harald_Koch_(Politiker,_1907)","SPD","37,2",1,0
"212","Georg Kohl","/wiki/Georg_Kohl","FDP","28,2",1,0
"213","Rudolf Kohl","/wiki/Rudolf_Kohl","KPD",NA,1,0
"214","Erich Köhler","/wiki/Erich_K%C3%B6hler","CDU",NA,1,0
"215","Wilhelm Königswarter","/wiki/Wilhelm_K%C3%B6nigswarter_(Politiker)","SPD",NA,1,0
"216","Hermann Kopf","/wiki/Hermann_Kopf","CDU","48,6",1,0
"217","Lisa Korspeter","/wiki/Lisa_Korspeter","SPD","27,9",1,0
"218","Anni Krahnstöver","/wiki/Anni_Krahnst%C3%B6ver","SPD","36,3",1,0
"219","Paul Krause","/wiki/Paul_Krause_(Politiker,_1905)","Zentrum",NA,1,0
"220","Gerhard Kreyssig","/wiki/Gerhard_Kreyssig","SPD",NA,1,0
"221","Herbert Kriedemann","/wiki/Herbert_Kriedemann","SPD","34,1",1,0
"222","Heinrich Krone","/wiki/Heinrich_Krone","CDU",NA,1,0
"223","Christian Kuhlemann","/wiki/Christian_Kuhlemann","DP",NA,1,0
"224","Georg Kühling","/wiki/Georg_K%C3%BChling","CDU","45,9",1,0
"225","Walther Kühn","/wiki/Walther_K%C3%BChn","FDP",NA,1,0
"226","Ernst Kuntscher","/wiki/Ernst_Kuntscher","CDU",NA,1,1
"227","Johannes Kunze","/wiki/Johannes_Kunze_(Politiker)","CDU",NA,1,0
"228","Georg Kurlbaum","/wiki/Georg_Kurlbaum","SPD","33,5",1,0
"229","Wilhelm Laforet","/wiki/Wilhelm_Laforet","CSU","43,8",1,0
"230","Roman Lampl","/wiki/Roman_Lampl","BP",NA,1,0
"231","Erwin Lange","/wiki/Erwin_Lange_(Politiker)","SPD","35,3",1,0
"232","Erich Langer","/wiki/Erich_Langer_(Politiker)","FDP",NA,1,0
"233","Willi Lausen","/wiki/Willi_Lausen","SPD","26,7",1,0
"234","Bruno Leddin","/wiki/Bruno_Leddin","SPD","44,1",1,0
"235","Robert Lehr","/wiki/Robert_Lehr","CDU","42,5",1,0
"236","Robert Leibbrand","/wiki/Robert_Leibbrand","KPD",NA,1,0
"237","Eugen Leibfried","/wiki/Eugen_Leibfried","CDU","37,8",1,0
"238","Ernst Lemmer","/wiki/Ernst_Lemmer","CDU",NA,1,0
"239","Aloys Lenz","/wiki/Aloys_Lenz_(Politiker,_1910)","CDU","43,0",1,0
"240","Gottfried Leonhard","/wiki/Gottfried_Leonhard","CDU","34,5",1,0
"241","Heinrich Leuchtgens","/wiki/Heinrich_Leuchtgens","FDP",NA,1,0
"242","Eduard Leuze","/wiki/Eduard_Leuze","FDP",NA,1,0
"243","Fritz Linnert","/wiki/Fritz_Linnert","FDP",NA,1,0
"244","Paul Löbe","/wiki/Paul_L%C3%B6be","SPD",NA,1,0
"245","Gertrud Lockmann","/wiki/Gertrud_Lockmann","SPD",NA,1,0
"246","Hans Löfflad","/wiki/Hans_L%C3%B6fflad","WAV",NA,1,0
"247","Bernhard Lohmüller","/wiki/Bernhard_Lohm%C3%BCller","SPD","37,3",1,0
"248","Martin Loibl","/wiki/Martin_Loibl_(Politiker,_1898)","CSU","36,2",1,0
"249","Alfred Loritz","/wiki/Alfred_Loritz","WAV",NA,1,0
"250","Heinrich Lübke","/wiki/Heinrich_L%C3%BCbke","CDU","40,7",1,0
"251","Paul Luchtenberg","/wiki/Paul_Luchtenberg","FDP",NA,1,0
"252","Paul Lücke","/wiki/Paul_L%C3%BCcke","CDU","48,6",1,0
"253","Adolf Ludwig","/wiki/Adolf_Ludwig","SPD","36,5",1,0
"254","Gerhard Lütkens","/wiki/Gerhard_L%C3%BCtkens","SPD",NA,1,0
"255","Heinrich Maerkl","/wiki/Heinrich_Maerkl","BP",NA,1,0
"256","Friedrich Maier","/wiki/Friedrich_Maier_(Politiker)","SPD",NA,1,0
"257","Ernst Majonica","/wiki/Ernst_Majonica","CDU",NA,1,0
"258","Robert Margulies","/wiki/Robert_Margulies","FDP",NA,1,0
"259","Franz Marx","/wiki/Franz_Marx_(Politiker,_1903)","SPD","30,8",1,0
"260","Willy Massoth","/wiki/Willy_Massoth","CDU",NA,1,0
"261","Heinz Matthes","/wiki/Heinz_Matthes_(Politiker,_1897)","DP","32,3",1,0
"262","Oskar Matzner","/wiki/Oskar_Matzner","SPD",NA,1,0
"263","Adolf Mauk","/wiki/Adolf_Mauk","FDP",NA,1,0
"264","Agnes Katharina Maxsein","/wiki/Agnes_Katharina_Maxsein","CDU",NA,1,0
"265","Ernst Mayer","/wiki/Ernst_Mayer_(Politiker,_1901)","FDP",NA,1,0
"266","Hugo Mayer","/wiki/Hugo_Mayer_(Politiker,_1899)","CDU","34,3",1,0
"267","Georg Mayerhofer","/wiki/Georg_Mayerhofer","BP","33,5",1,0
"268","Matthias Joseph Mehs","/wiki/Matthias_Joseph_Mehs","CDU","80,2",1,0
"269","Franz Xaver Meitinger","/wiki/Franz_Xaver_Meitinger","BP",NA,1,0
"270","Karl Meitmann","/wiki/Karl_Meitmann","SPD","43,4",1,0
"271","Wilhelm Mellies","/wiki/Wilhelm_Mellies","SPD","39,6",1,0
"272","Erich Mende","/wiki/Erich_Mende","FDP",NA,1,0
"273","Fritz Mensing","/wiki/Fritz_Mensing","CDU",NA,1,0
"274","Walter Menzel","/wiki/Walter_Menzel","SPD",NA,1,0
"275","Hans-Joachim von Merkatz","/wiki/Hans-Joachim_von_Merkatz","DP","32,7",1,0
"276","Hans Merten","/wiki/Hans_Merten","SPD",NA,1,0
"277","Arthur Mertins","/wiki/Arthur_Mertins","SPD","34,3",1,0
"278","Erich Meyer","/wiki/Erich_Meyer_(Politiker,_1900)","SPD","41,0",1,0
"279","Heinz Meyer","/wiki/Heinz_Meyer_(Politiker,_1897)","SPD","29,9",1,0
"280","Emmy Meyer-Laule","/wiki/Emmy_Meyer-Laule","SPD",NA,1,0
"281","Friedrich Middelhauve","/wiki/Friedrich_Middelhauve","FDP",NA,1,0
"282","Herwart Miessner","/wiki/Herwart_Miessner","DKP-DRP",NA,1,0
"283","Friedhelm Missmahl","/wiki/Friedhelm_Missmahl","SPD","36,0",1,0
"284","Karl Mommer","/wiki/Karl_Mommer","SPD",NA,1,0
"285","Kurt Moosdorf","/wiki/Kurt_Moosdorf_(Politiker,_1884)","SPD",NA,1,0
"286","Wendelin Morgenthaler","/wiki/Wendelin_Morgenthaler","CDU","59,5",1,0
"287","Willibald Mücke","/wiki/Willibald_M%C3%BCcke","SPD","26,8",1,0
"288","Richard Muckermann","/wiki/Richard_Muckermann","CDU","47,3",1,0
"289","Franz Mühlenberg","/wiki/Franz_M%C3%BChlenberg","CDU","50,2",1,0
"290","Hans Mühlenfeld","/wiki/Hans_M%C3%BChlenfeld","DP",NA,1,0
"291","Friederike Mulert","/wiki/Friederike_Mulert","FDP",NA,1,0
"292","Heinrich Müller","/wiki/Heinrich_M%C3%BCller_(Politiker,_1901)","SPD","30,7",1,0
"293","Karl Müller","/wiki/Karl_M%C3%BCller_(Politiker,_1884)","CDU","64,2",1,0
"294","Kurt Müller","/wiki/Kurt_M%C3%BCller_(Politiker,_1903)","KPD",NA,1,0
"295","Oskar Müller","/wiki/Oskar_M%C3%BCller_(Politiker)","KPD",NA,1,0
"296","Willy Müller","/wiki/Willy_M%C3%BCller_(Politiker,_1903)","SPD","36,6",1,0
"297","Ernst Müller-Hermann","/wiki/Ernst_M%C3%BCller-Hermann","CDU",NA,1,0
"298","Friederike Nadig","/wiki/Friederike_Nadig","SPD","44,8",1,0
"299","Wilhelm Naegel","/wiki/Wilhelm_Naegel","CDU",NA,1,0
"300","Jakob Neber","/wiki/Jakob_Neber","CDU",NA,1,0
"301","Peter Nellen","/wiki/Peter_Nellen","CDU","34,6",1,0
"302","Kurt Neubauer","/wiki/Kurt_Neubauer_(Politiker)","SPD",NA,1,0
"303","August Neuburger","/wiki/August_Neuburger_(Politiker)","CDU","48,8",1,0
